Commands,encoded_intent
"Start the TV on, drawing room",5
"Stop the TV off, drawing room",4
"Engage the TV on, drawing room",5
"Disengage the TV off, drawing room",4
"TV on, drawing room",5
"TV off, drawing room",4
"Begin the TV on, drawing room",5
"End the TV off, drawing room",4
"Initiate the TV on, drawing room",5
"Terminate the TV off, drawing room",4
"Trigger the TV on, drawing room",5
"Cut the TV off, drawing room",4
"Fire up the TV on, drawing room",5
"Kill the TV off, drawing room",4
"Ignite the TV on, drawing room",5
"Extinguish the TV off, drawing room",4
"TV on, drawing room",5
"TV off, drawing room",4
"Please TV on, drawing room",5
"Please TV off, drawing room",4
"Kindly TV on, drawing room",5
"Kindly TV off, drawing room",4
"Turn the TV on, drawing room",5
"Turn the TV off, drawing room",4
"Switch the TV on, drawing room",5
"Switch the TV off, drawing room",4
"Please turn the TV on, drawing room",5
"Please turn the TV off, drawing room",4
"Kindly turn the TV on, drawing room",5
"Kindly turn the TV off, drawing room",4
"Activate the TV on, drawing room",5
"Deactivate the TV off, drawing room",4
"Power the TV on, drawing room",5
"Power the TV off, drawing room",4
TV on in drawing room,5
TV off in drawing room,4
"Enable the TV on, drawing room",5
"Disable the TV off, drawing room",4
"Start the TV on, drawing room",5
"Stop the TV off, drawing room",4
"Engage the TV on, drawing room",5
"Disengage the TV off, drawing room",4
"TV on, drawing room",5
"TV off, drawing room",4
"Begin the TV on, drawing room",5
"End the TV off, drawing room",4
"Initiate the TV on, drawing room",5
"Terminate the TV off, drawing room",4
"Trigger the TV on, drawing room",5
"Cut the TV off, drawing room",4
"Fire up the TV on, drawing room",5
"Kill the TV off, drawing room",4
"Ignite the TV on, drawing room",5
"Extinguish the TV off, drawing room",4
Please turn on the TV in drawing room now,5
Please turn off the TV in drawing room now,4
Kindly turn on the TV in drawing room now,5
Kindly turn off the TV in drawing room now,4
Switch on the TV in drawing room now,5
Switch off the TV in drawing room now,4
Turn the TV on in drawing room now,5
Turn the TV off in drawing room now,4
Please turn on the TV in drawing room now,5
Please turn off the TV in drawing room now,4
Kindly turn on the TV in drawing room now,5
Kindly turn off the TV in drawing room now,4
Switch on the TV in drawing room now,5
Switch off the TV in drawing room now,4
Turn the TV on in drawing room now,5
Turn the TV off in drawing room now,4
Kindly switch on the TV in drawing room now,5
Kindly switch off the TV in drawing room now,4
"Switch the TV on in drawing room, please",5
"Switch the TV off in drawing room, please",4
"Turn the TV on in drawing room, kindly",5
"Turn the TV off in drawing room, kindly",4
"TV on, drawing room please",5
"TV off, drawing room please",4
"TV on, drawing room please",5
"TV off, drawing room please",4
Turn the TV on in drawing room right away,5
Turn the TV off in drawing room right away,4
Turn on the TV in drawing room now,5
Turn off the TV in drawing room now,4
Please engage the TV in drawing room,5
Please disengage the TV in drawing room,4
Activate the TV in drawing room now,5
Deactivate the TV in drawing room now,4
TV up drawing room,5
TV down drawing room,4
TV on in drawing room immediately,5
TV off in drawing room immediately,4
TV on in drawing room right now,5
TV off in drawing room right now,4
Start the TV in drawing room now,5
Stop the TV in drawing room now,4
Begin the TV in drawing room now,5
End the TV in drawing room now,4
Initiate the TV in drawing room now,5
Terminate the TV in drawing room now,4
Trigger the TV in drawing room now,5
Cut the TV in drawing room now,4
Ignite the TV in drawing room now,5
Extinguish the TV in drawing room now,4
Power the TV on in drawing room now,5
Power the TV off in drawing room now,4
Engage the TV in drawing room now,5
Disengage the TV in drawing room now,4
"TV on in the drawing room, please",5
"TV off in the drawing room, please",4
TV on in drawing room at once,5
TV off in drawing room at once,4
Switch on the TV in drawing room immediately,5
Switch off the TV in drawing room immediately,4
TV on in drawing room kindly,5
TV off in drawing room kindly,4
TV on in drawing room kindly,5
TV off in drawing room kindly,4
"Turn on the TV in drawing room, please",5
"Turn off the TV in drawing room, please",4
Activate the TV in drawing room at once,5
Deactivate the TV in drawing room at once,4
Power the TV on in drawing room at once,5
Power the TV off in drawing room at once,4
Turn the TV on in drawing room right now,5
Turn the TV off in drawing room right now,4
Engage the TV in drawing room at once,5
Disengage the TV in drawing room at once,4
Please TV on in drawing room immediately,5
Please TV off in drawing room immediately,4
Kindly TV on in drawing room immediately,5
Kindly TV off in drawing room immediately,4
Start the TV in drawing room at once,5
Stop the TV in drawing room at once,4
"Turn on the TV in drawing room, kindly",5
"Turn off the TV in drawing room, kindly",4
"TV up the drawing room, please",5
"TV down the drawing room, please",4
Initiate the TV in drawing room immediately,5
Terminate the TV in drawing room immediately,4
Fire up the TV in drawing room now,5
Kill the TV in drawing room now,4
"TV on in drawing room now, please",5
"TV off in drawing room now, please",4
Please TV on in drawing room now,5
Please TV off in drawing room now,4
Kindly TV on in drawing room now,5
Kindly TV off in drawing room now,4
"Please turn on the TV in drawing room, kindly",5
"Please turn off the TV in drawing room, kindly",4
"Switch the TV on in drawing room, kindly",5
"Switch the TV off in drawing room, kindly",4
"TV on in drawing room, right away",5
"TV off in drawing room, right away",4
Please TV up drawing room now,5
Please TV down drawing room now,4
Kindly TV up drawing room now,5
Kindly TV down drawing room now,4
Turn on the TV in drawing room right away,5
Turn off the TV in drawing room right away,4
Please activate the TV in drawing room,5
Please deactivate the TV in drawing room,4
"TV on in drawing room, immediately",5
"TV off in drawing room, immediately",4
Kindly start the TV in drawing room,5
Kindly stop the TV in drawing room,4
"TV on in drawing room, right now",5
"TV off in drawing room, right now",4
Please engage the TV in drawing room,5
Please disengage the TV in drawing room,4
Kindly turn on the TV in drawing room,5
Kindly turn off the TV in drawing room,4
"Turn on the TV in drawing room, immediately",5
"Turn off the TV in drawing room, immediately",4
"Switch on the TV in drawing room, immediately",5
"Switch off the TV in drawing room, immediately",4
"TV on in drawing room, immediately",5
"TV off in drawing room, immediately",4
Please switch the TV on in drawing room,5
Please switch the TV off in drawing room,4
Kindly switch the TV on in drawing room,5
Kindly switch the TV off in drawing room,4
Please TV on in drawing room kindly,5
Please TV off in drawing room kindly,4
Kindly TV on in drawing room kindly,5
Kindly TV off in drawing room kindly,4
Please TV on in drawing room immediately,5
Please TV off in drawing room immediately,4
Kindly TV on in drawing room immediately,5
Kindly TV off in drawing room immediately,4
Turn on the TV in drawing room at once,5
Turn off the TV in drawing room at once,4
Switch on the TV in drawing room at once,5
Switch off the TV in drawing room at once,4
Please turn on the TV in drawing room immediately,5
Please turn off the TV in drawing room immediately,4
Kindly turn on the TV in drawing room immediately,5
Kindly turn off the TV in drawing room immediately,4
TV on in drawing room right away,5
TV off in drawing room right away,4
TV up drawing room right away,5
TV down drawing room right away,4
"TV up drawing room, please",5
"TV down drawing room, please",4
Please TV up drawing room immediately,5
Please TV down drawing room immediately,4
Kindly TV up drawing room immediately,5
Kindly TV down drawing room immediately,4
Kindly switch on the TV in drawing room right away,5
Kindly switch off the TV in drawing room right away,4
"Switch on the TV in drawing room right away, please",5
"Switch off the TV in drawing room right away, please",4
"Turn on the TV in drawing room right away, please",5
"Turn off the TV in drawing room right away, please",4
"Turn on the TV in drawing room right away, please",5
"Turn off the TV in drawing room right away, please",4
"Kindly turn on the TV in drawing room, immediately",5
"Kindly turn off the TV in drawing room, immediately",4
"TV on in drawing room right now, please",5
"TV off in drawing room right now, please",4
Please switch on the TV in drawing room immediately,5
Please switch off the TV in drawing room immediately,4
Kindly switch on the TV in drawing room immediately,5
Kindly switch off the TV in drawing room immediately,4
"Turn on the TV in drawing room, now",5
"Turn off the TV in drawing room, now",4
"Switch the TV on in drawing room, now",5
"Switch the TV off in drawing room, now",4
"Please turn on the TV in drawing room, now",5
"Please turn off the TV in drawing room, now",4
"Kindly turn the TV on in drawing room, now",5
"Kindly turn the TV off in drawing room, now",4
"Activate the TV in drawing room, now",5
"Deactivate the TV in drawing room, now",4
"TV on in drawing room, right now",5
"TV off in drawing room, right now",4
"TV up the drawing room, now",5
"TV down the drawing room, now",4
"Please TV on in drawing room, now",5
"Please TV off in drawing room, now",4
"Kindly TV on in drawing room, now",5
"Kindly TV off in drawing room, now",4
"Start the TV in drawing room, now",5
"Stop the TV in drawing room, now",4
"Engage the TV in drawing room, now",5
"Disengage the TV in drawing room, now",4
"Please activate the TV in drawing room, now",5
"Please deactivate the TV in drawing room, now",4
"Kindly activate the TV in drawing room, now",5
"Kindly deactivate the TV in drawing room, now",4
"Turn on the TV in drawing room, right now",5
"Turn off the TV in drawing room, right now",4
"Please start the TV in drawing room, now",5
"Please stop the TV in drawing room, now",4
"Kindly start the TV in drawing room, now",5
"Kindly stop the TV in drawing room, now",4
Turn on the fan in room 3,7
Turn off the fan in room 3,6
Switch on the fan in room 3,7
Switch off the fan in room 3,6
Please turn on the fan in room 3,7
Please turn off the fan in room 3,6
Activate the fan in room 3,7
Deactivate the fan in room 3,6
Power on the fan in room 3,7
Power off the fan in room 3,6
Fan on in room 3,7
Fan off in room 3,6
Enable the fan in room 3,7
Disable the fan in room 3,6
Start the fan in room 3,7
Stop the fan in room 3,6
Engage the fan in room 3,7
Disengage the fan in room 3,6
Fan on in room 3,7
Fan off in room 3,6
Begin the fan in room 3,7
End the fan in room 3,6
Initiate the fan in room 3,7
Terminate the fan in room 3,6
Trigger the fan in room 3,7
Cut the fan in room 3,6
Fire up the fan in room 3,7
Kill the fan in room 3,6
Ignite the fan in room 3,7
Extinguish the fan in room 3,6
Turn on room 3 fan,7
Turn off room 3 fan,6
Switch on room 3 fan,7
Switch off room 3 fan,6
Please turn on room 3 fan,7
Please turn off room 3 fan,6
Activate room 3 fan,7
Deactivate room 3 fan,6
Power on room 3 fan,7
Power off room 3 fan,6
Fan on room 3,7
Fan off room 3,6
Enable room 3 fan,7
Disable room 3 fan,6
Start room 3 fan,7
Stop room 3 fan,6
Engage room 3 fan,7
Disengage room 3 fan,6
Fan on room 3,7
Fan off room 3,6
Begin room 3 fan,7
End room 3 fan,6
Initiate room 3 fan,7
Terminate room 3 fan,6
Trigger room 3 fan,7
Cut room 3 fan,6
Fire up room 3 fan,7
Kill room 3 fan,6
Ignite room 3 fan,7
Extinguish room 3 fan,6
Fan on in room three,7
Fan off in room three,6
Please switch on the fan in room 3,7
Please switch off the fan in room 3,6
Activate the fan in room three,7
Deactivate the fan in room three,6
Power on the fan in room three,7
Power off the fan in room three,6
Start the fan in room three,7
Stop the fan in room three,6
Engage the fan in room three,7
Disengage the fan in room three,6
Fan on in room three,7
Fan off in room three,6
Turn on the fan in room three,7
Turn off the fan in room three,6
Switch on the fan in room three,7
Switch off the fan in room three,6
Please turn on the fan in room three,7
Please turn off the fan in room three,6
Activate the fan in room three,7
Deactivate the fan in room three,6
Power on the fan in room three,7
Power off the fan in room three,6
Fan on in room three,7
Fan off in room three,6
Enable the fan in room three,7
Disable the fan in room three,6
Start the fan in room three,7
Stop the fan in room three,6
Engage the fan in room three,7
Disengage the fan in room three,6
Fan on in room three,7
Fan off in room three,6
Initiate the fan in room three,7
Terminate the fan in room three,6
Trigger the fan in room three,7
Cut the fan in room three,6
Fire up the fan in room three,7
Kill the fan in room three,6
Turn on the fan in the third room,7
Turn off the fan in the third room,6
Switch on the fan in the third room,7
Switch off the fan in the third room,6
Please turn on the fan in the third room,7
Please turn off the fan in the third room,6
Activate the fan in the third room,7
Deactivate the fan in the third room,6
Power on the fan in the third room,7
Power off the fan in the third room,6
Fan on in the third room,7
Fan off in the third room,6
Enable the fan in the third room,7
Disable the fan in the third room,6
Start the fan in the third room,7
Stop the fan in the third room,6
Engage the fan in the third room,7
Disengage the fan in the third room,6
Fan on in the third room,7
Fan off in the third room,6
Begin the fan in the third room,7
End the fan in the third room,6
Initiate the fan in the third room,7
Terminate the fan in the third room,6
Trigger the fan in the third room,7
Cut the fan in the third room,6
Fire up the fan in the third room,7
Kill the fan in the third room,6
Ignite the fan in the third room,7
Extinguish the fan in the third room,6
Turn on room three fan,7
Turn off room three fan,6
Switch on room three fan,7
Switch off room three fan,6
Please turn on room three fan,7
Please turn off room three fan,6
Activate room three fan,7
Deactivate room three fan,6
Power on room three fan,7
Power off room three fan,6
Fan on room three,7
Fan off room three,6
Enable room three fan,7
Disable room three fan,6
Start room three fan,7
Stop room three fan,6
Engage room three fan,7
Disengage room three fan,6
Fan on room three,7
Fan off room three,6
Begin room three fan,7
End room three fan,6
Initiate room three fan,7
Terminate room three fan,6
Trigger room three fan,7
Cut room three fan,6
Fire up room three fan,7
Kill room three fan,6
Ignite room three fan,7
Extinguish room three fan,6
Please switch on the fan in room three,7
Please switch off the fan in room three,6
Activate the fan in room three,7
Deactivate the fan in room three,6
Power on the fan in room three,7
Power off the fan in room three,6
Start the fan in room three,7
Stop the fan in room three,6
Engage the fan in room three,7
Disengage the fan in room three,6
Fan on in room three,7
Fan off in room three,6
Turn on the fan in the third room,7
Turn off the fan in the third room,6
Switch on the fan in the third room,7
Switch off the fan in the third room,6
Please turn on the fan in the third room,7
Please turn off the fan in the third room,6
Activate the fan in the third room,7
Deactivate the fan in the third room,6
Power on the fan in the third room,7
Power off the fan in the third room,6
Fan on in the third room,7
Fan off in the third room,6
Enable the fan in the third room,7
Disable the fan in the third room,6
Start the fan in the third room,7
Stop the fan in the third room,6
Engage the fan in the third room,7
Disengage the fan in the third room,6
Fan on in the third room,7
Fan off in the third room,6
Initiate the fan in the third room,7
Terminate the fan in the third room,6
Trigger the fan in the third room,7
Cut the fan in the third room,6
Fire up the fan in the third room,7
Kill the fan in the third room,6
Ignite the fan in the third room,7
Extinguish the fan in the third room,6
"Fan on in room 3, please",7
"Fan off in room 3, please",6
Please fan on in room 3,7
Please fan off in room 3,6
Kindly turn on the fan in room 3,7
Kindly turn off the fan in room 3,6
Kindly switch on the fan in room 3,7
Kindly switch off the fan in room 3,6
Please activate the fan in room 3,7
Please deactivate the fan in room 3,6
Kindly power on the fan in room 3,7
Kindly power off the fan in room 3,6
Kindly fan on in room 3,7
Kindly fan off in room 3,6
Kindly enable the fan in room 3,7
Kindly disable the fan in room 3,6
Kindly start the fan in room 3,7
Kindly stop the fan in room 3,6
Kindly engage the fan in room 3,7
Kindly disengage the fan in room 3,6
Kindly fan on in room 3,7
Kindly fan off in room 3,6
Kindly begin the fan in room 3,7
Kindly end the fan in room 3,6
Kindly initiate the fan in room 3,7
Kindly terminate the fan in room 3,6
Kindly trigger the fan in room 3,7
Kindly cut the fan in room 3,6
Kindly fire up the fan in room 3,7
Kindly kill the fan in room 3,6
Kindly ignite the fan in room 3,7
Kindly extinguish the fan in room 3,6
Turn the fan on in room 3,7
Turn the fan off in room 3,6
Switch the fan on in room 3,7
Switch the fan off in room 3,6
Please turn the fan on in room 3,7
Please turn the fan off in room 3,6
Activate the fan on in room 3,7
Deactivate the fan off in room 3,6
Power the fan on in room 3,7
Power the fan off in room 3,6
"Fan on in room 3, please",7
"Fan off in room 3, please",6
Enable the fan on in room 3,7
Disable the fan off in room 3,6
Start the fan on in room 3,7
Stop the fan off in room 3,6
Engage the fan on in room 3,7
Disengage the fan off in room 3,6
"Fan on in room 3, please",7
"Fan off in room 3, please",6
Begin the fan on in room 3,7
End the fan off in room 3,6
Initiate the fan on in room 3,7
Terminate the fan off in room 3,6
Trigger the fan on in room 3,7
Cut the fan off in room 3,6
Fire up the fan on in room 3,7
Kill the fan off in room 3,6
Ignite the fan on in room 3,7
Extinguish the fan off in room 3,6
Please turn the fan on in room three,7
Please turn the fan off in room three,6
Kindly turn the fan on in room three,7
Kindly turn the fan off in room three,6
Kindly switch the fan on in room three,7
Kindly switch the fan off in room three,6
Please activate the fan in room three,7
Please deactivate the fan in room three,6
Kindly power on the fan in room three,7
Kindly power off the fan in room three,6
Kindly fan on in room three,7
Kindly fan off in room three,6
Kindly enable the fan in room three,7
Kindly disable the fan in room three,6
Kindly start the fan in room three,7
Kindly stop the fan in room three,6
Kindly engage the fan in room three,7
Kindly disengage the fan in room three,6
Kindly fan on in room three,7
Kindly fan off in room three,6
Kindly begin the fan in room three,7
Kindly end the fan in room three,6
Kindly initiate the fan in room three,7
Kindly terminate the fan in room three,6
Kindly trigger the fan in room three,7
Kindly cut the fan in room three,6
Kindly fire up the fan in room three,7
Kindly kill the fan in room three,6
Kindly ignite the fan in room three,7
Kindly extinguish the fan in room three,6
Turn the fan on in the third room,7
Turn the fan off in the third room,6
Switch the fan on in the third room,7
Switch the fan off in the third room,6
Please turn the fan on in the third room,7
Please turn the fan off in the third room,6
Activate the fan on in the third room,7
Deactivate the fan off in the third room,6
Power the fan on in the third room,7
Power the fan off in the third room,6
"Fan on in the third room, please",7
"Fan off in the third room, please",6
Enable the fan on in the third room,7
Disable the fan off in the third room,6
Start the fan on in the third room,7
Stop the fan off in the third room,6
Engage the fan on in the third room,7
Disengage the fan off in the third room,6
"fan on in the third room, please",7
"fan off in the third room, please",6
Begin the fan on in the third room,7
End the fan off in the third room,6
Initiate the fan on in the third room,7
Terminate the fan off in the third room,6
Trigger the fan on in the third room,7
Cut the fan off in the third room,6
Fire up the fan on in the third room,7
Kill the fan off in the third room,6
Ignite the fan on in the third room,7
Extinguish the fan off in the third room,6
"Fan on, room 3",7
"Fan off, room 3",6
"Please fan on, room 3",7
"Please fan off, room 3",6
"Kindly fan on, room 3",7
"Kindly fan off, room 3",6
"Turn the fan on, room 3",7
"Turn the fan off, room 3",6
"Switch the fan on, room 3",7
"Switch the fan off, room 3",6
"Please turn the fan on, room 3",7
"Please turn the fan off, room 3",6
"Kindly turn the fan on, room 3",7
"Kindly turn the fan off, room 3",6
"Activate the fan on, room 3",7
"Deactivate the fan off, room 3",6
"Power the fan on, room 3",7
"Power the fan off, room 3",6
Fan on in room 3,7
Fan off in room 3,6
"Enable the fan on, room 3",7
"Disable the fan off, room 3",6
"Start the fan on, room 3",7
"Stop the fan off, room 3",6
"Engage the fan on, room 3",7
"Disengage the fan off, room 3",6
"Fan on, room 3",7
"Fan off, room 3",6
"Begin the fan on, room 3",7
"End the fan off, room 3",6
"Initiate the fan on, room 3",7
"Terminate the fan off, room 3",6
"Trigger the fan on, room 3",7
"Cut the fan off, room 3",6
"Fire up the fan on, room 3",7
"Kill the fan off, room 3",6
"Ignite the fan on, room 3",7
"Extinguish the fan off, room 3",6
"Fan on, room three",7
"Fan off, room three",6
"Please fan on, room three",7
"Please fan off, room three",6
"Kindly fan on, room three",7
"Kindly fan off, room three",6
"Turn the fan on, room three",7
"Turn the fan off, room three",6
"Switch the fan on, room three",7
"Switch the fan off, room three",6
"Please turn the fan on, room three",7
"Please turn the fan off, room three",6
"Kindly turn the fan on, room three",7
"Kindly turn the fan off, room three",6
"Activate the fan on, room three",7
"Deactivate the fan off, room three",6
"Power the fan on, room three",7
"Power the fan off, room three",6
Fan on in room three,7
Fan off in room three,6
"Enable the fan on, room three",7
"Disable the fan off, room three",6
"Start the fan on, room three",7
"Stop the fan off, room three",6
"Engage the fan on, room three",7
"Disengage the fan off, room three",6
"Fan on, room three",7
"Fan off, room three",6
"Begin the fan on, room three",7
"End the fan off, room three",6
"Initiate the fan on, room three",7
"Terminate the fan off, room three",6
"Trigger the fan on, room three",7
"Cut the fan off, room three",6
"Fire up the fan on, room three",7
"Kill the fan off, room three",6
"Ignite the fan on, room three",7
"Extinguish the fan off, room three",6
Please turn on the fan in room 3 now,7
Please turn off the fan in room 3 now,6
Kindly turn on the fan in room 3 now,7
Kindly turn off the fan in room 3 now,6
Switch on the fan in room 3 now,7
Switch off the fan in room 3 now,6
Turn the fan on in room 3 now,7
Turn the fan off in room 3 now,6
Please turn on the fan in room three now,7
Please turn off the fan in room three now,6
Kindly turn on the fan in room three now,7
Kindly turn off the fan in room three now,6
Switch on the fan in room three now,7
Switch off the fan in room three now,6
Turn the fan on in room three now,7
Turn the fan off in room three now,6
Kindly switch on the fan in room three now,7
Kindly switch off the fan in room three now,6
"Switch the fan on in room 3, please",7
"Switch the fan off in room 3, please",6
"Turn the fan on in room 3, kindly",7
"Turn the fan off in room 3, kindly",6
"Fan on, room 3 please",7
"Fan off, room 3 please",6
"Fan on, room three please",7
"Fan off, room three please",6
Turn the fan on in room 3 right away,7
Turn the fan off in room 3 right away,6
Turn on the fan in room 3 now,7
Turn off the fan in room 3 now,6
Please engage the fan in room 3,7
Please disengage the fan in room 3,6
Activate the fan in room 3 now,7
Deactivate the fan in room 3 now,6
Fan up room 3,7
Fan down room 3,6
Fan on in room 3 immediately,7
Fan off in room 3 immediately,6
Fan on in room 3 right now,7
Fan off in room 3 right now,6
Start the fan in room 3 now,7
Stop the fan in room 3 now,6
Begin the fan in room 3 now,7
End the fan in room 3 now,6
Initiate the fan in room 3 now,7
Terminate the fan in room 3 now,6
Trigger the fan in room 3 now,7
Cut the fan in room 3 now,6
Ignite the fan in room 3 now,7
Extinguish the fan in room 3 now,6
Power the fan on in room 3 now,7
Power the fan off in room 3 now,6
Engage the fan in room 3 now,7
Disengage the fan in room 3 now,6
"Fan on in the third room, please",7
"Fan off in the third room, please",6
Fan on in room 3 at once,7
Fan off in room 3 at once,6
Switch on the fan in room 3 immediately,7
Switch off the fan in room 3 immediately,6
Fan on in room 3 kindly,7
Fan off in room 3 kindly,6
Fan on in room three kindly,7
Fan off in room three kindly,6
"Turn on the fan in room 3, please",7
"Turn off the fan in room 3, please",6
Activate the fan in room 3 at once,7
Deactivate the fan in room 3 at once,6
Power the fan on in room 3 at once,7
Power the fan off in room 3 at once,6
Turn the fan on in room 3 right now,7
Turn the fan off in room 3 right now,6
Engage the fan in room 3 at once,7
Disengage the fan in room 3 at once,6
Please fan on in room 3 immediately,7
Please fan off in room 3 immediately,6
Kindly fan on in room 3 immediately,7
Kindly fan off in room 3 immediately,6
Start the fan in room 3 at once,7
Stop the fan in room 3 at once,6
"Turn on the fan in room 3, kindly",7
"Turn off the fan in room 3, kindly",6
"Fan up the third room, please",7
"Fan down the third room, please",6
Initiate the fan in room 3 immediately,7
Terminate the fan in room 3 immediately,6
Fire up the fan in room 3 now,7
Kill the fan in room 3 now,6
"Fan on in room 3 now, please",7
"Fan off in room 3 now, please",6
Please fan on in room three now,7
Please fan off in room three now,6
Kindly fan on in room three now,7
Kindly fan off in room three now,6
"Please turn on the fan in room 3, kindly",7
"Please turn off the fan in room 3, kindly",6
"Switch the fan on in room 3, kindly",7
"Switch the fan off in room 3, kindly",6
"Fan on in room 3, right away",7
"Fan off in room 3, right away",6
Please fan up room 3 now,7
Please fan down room 3 now,6
Kindly fan up room 3 now,7
Kindly fan down room 3 now,6
Turn on the fan in room 3 right away,7
Turn off the fan in room 3 right away,6
Please activate the fan in room 3,7
Please deactivate the fan in room 3,6
"Fan on in room 3, immediately",7
"Fan off in room 3, immediately",6
Kindly start the fan in room 3,7
Kindly stop the fan in room 3,6
"Fan on in room 3, right now",7
"Fan off in room 3, right now",6
Please engage the fan in room 3,7
Please disengage the fan in room 3,6
Kindly turn on the fan in room 3,7
Kindly turn off the fan in room 3,6
"Turn on the fan in room 3, immediately",7
"Turn off the fan in room 3, immediately",6
"Switch on the fan in room 3, immediately",7
"Switch off the fan in room 3, immediately",6
"Fan on in room three, immediately",7
"Fan off in room three, immediately",6
Please switch the fan on in room 3,7
Please switch the fan off in room 3,6
Kindly switch the fan on in room 3,7
Kindly switch the fan off in room 3,6
Please fan on in room three kindly,7
Please fan off in room three kindly,6
Kindly fan on in room three kindly,7
Kindly fan off in room three kindly,6
Please fan on in room three immediately,7
Please fan off in room three immediately,6
Kindly fan on in room three immediately,7
Kindly fan off in room three immediately,6
Turn on the fan in room 3 at once,7
Turn off the fan in room 3 at once,6
Switch on the fan in room 3 at once,7
Switch off the fan in room 3 at once,6
Please turn on the fan in room three immediately,7
Please turn off the fan in room three immediately,6
Kindly turn on the fan in room three immediately,7
Kindly turn off the fan in room three immediately,6
Fan on in room three right away,7
Fan off in room three right away,6
Fan up room three right away,7
Fan down room three right away,6
"Fan up room three, please",7
"Fan down room three, please",6
Please fan up room three immediately,7
Please fan down room three immediately,6
Kindly fan up room three immediately,7
Kindly fan down room three immediately,6
Kindly switch on the fan in room 3 right away,7
Kindly switch off the fan in room 3 right away,6
"Switch on the fan in room 3 right away, please",7
"Switch off the fan in room 3 right away, please",6
"Turn on the fan in room 3 right away, please",7
"Turn off the fan in room 3 right away, please",6
"Turn on the fan in room three right away, please",7
"Turn off the fan in room three right away, please",6
"Kindly turn on the fan in room 3, immediately",7
"Kindly turn off the fan in room 3, immediately",6
"Fan on in room 3 right now, please",7
"Fan off in room 3 right now, please",6
Please switch on the fan in room 3 immediately,7
Please switch off the fan in room 3 immediately,6
Kindly switch on the fan in room 3 immediately,7
Kindly switch off the fan in room 3 immediately,6
"Turn on the fan in room 3, now",7
"Turn off the fan in room 3, now",6
"Switch the fan on in room 3, now",7
"Switch the fan off in room 3, now",6
"Please turn on the fan in room 3, now",7
"Please turn off the fan in room 3, now",6
"Kindly turn the fan on in room 3, now",7
"Kindly turn the fan off in room 3, now",6
"Activate the fan in room 3, now",7
"Deactivate the fan in room 3, now",6
"Fan on in room 3, right now",7
"Fan off in room 3, right now",6
"Fan up the third room, now",7
"Fan down the third room, now",6
"Please fan on in room 3, now",7
"Please fan off in room 3, now",6
"Kindly fan on in room 3, now",7
"Kindly fan off in room 3, now",6
"Start the fan in room 3, now",7
"Stop the fan in room 3, now",6
"Engage the fan in room 3, now",7
"Disengage the fan in room 3, now",6
"Please activate the fan in room 3, now",7
"Please deactivate the fan in room 3, now",6
"Kindly activate the fan in room 3, now",7
"Kindly deactivate the fan in room 3, now",6
"Turn on the fan in room 3, right now",7
"Turn off the fan in room 3, right now",6
"Please start the fan in room 3, now",7
"Please stop the fan in room 3, now",6
"Kindly start the fan in room 3, now",7
"Kindly stop the fan in room 3, now",6
Turn on the light in room 3,17
Turn off the light in room 3,16
Switch on the light in room 3,17
Switch off the light in room 3,16
Please turn on the light in room 3,17
Please turn off the light in room 3,16
Activate the light in room 3,17
Deactivate the light in room 3,16
Power on the light in room 3,17
Power off the light in room 3,16
Light on in room 3,17
Light off in room 3,16
Enable the light in room 3,17
Disable the light in room 3,16
Start the light in room 3,17
Stop the light in room 3,16
Engage the light in room 3,17
Disengage the light in room 3,16
Light on in room 3,17
Light off in room 3,16
Begin the light in room 3,17
End the light in room 3,16
Initiate the light in room 3,17
Terminate the light in room 3,16
Trigger the light in room 3,17
Cut the light in room 3,16
Fire up the light in room 3,17
Kill the light in room 3,16
Ignite the light in room 3,17
Extinguish the light in room 3,16
Turn on room 3 light,17
Turn off room 3 light,16
Switch on room 3 light,17
Switch off room 3 light,16
Please turn on room 3 light,17
Please turn off room 3 light,16
Activate room 3 light,17
Deactivate room 3 light,16
Power on room 3 light,17
Power off room 3 light,16
Light on room 3,17
Light off room 3,16
Enable room 3 light,17
Disable room 3 light,16
Start room 3 light,17
Stop room 3 light,16
Engage room 3 light,17
Disengage room 3 light,16
Light on room 3,17
Light off room 3,16
Begin room 3 light,17
End room 3 light,16
Initiate room 3 light,17
Terminate room 3 light,16
Trigger room 3 light,17
Cut room 3 light,16
Fire up room 3 light,17
Kill room 3 light,16
Ignite room 3 light,17
Extinguish room 3 light,16
Light on in room three,17
Light off in room three,16
Please switch on the light in room 3,17
Please switch off the light in room 3,16
Activate the light in room three,17
Deactivate the light in room three,16
Power on the light in room three,17
Power off the light in room three,16
Start the light in room three,17
Stop the light in room three,16
Engage the light in room three,17
Disengage the light in room three,16
Light on in room three,17
Light off in room three,16
Turn on the light in room three,17
Turn off the light in room three,16
Switch on the light in room three,17
Switch off the light in room three,16
Please turn on the light in room three,17
Please turn off the light in room three,16
Activate the light in room three,17
Deactivate the light in room three,16
Power on the light in room three,17
Power off the light in room three,16
Light on in room three,17
Light off in room three,16
Enable the light in room three,17
Disable the light in room three,16
Start the light in room three,17
Stop the light in room three,16
Engage the light in room three,17
Disengage the light in room three,16
Light on in room three,17
Light off in room three,16
Initiate the light in room three,17
Terminate the light in room three,16
Trigger the light in room three,17
Cut the light in room three,16
Fire up the light in room three,17
